,index of state,state,value,policy
0,0,"(2, (('0', '9'), ('0', '0')))",3.96,1
1,1,"(10, (('4', '0'), ('1', '1')))",2.0,stop
2,2,"(15, (('1', '0'), ('1', '1')))",2.0,stop
3,3,"(6, (('0', '9'), ('0', '1')))",3.9204,0
4,4,"(8, (('3', '3'), ('1', '1')))",3.96,0
5,5,"(3, (('0', '2'), ('1', '1')))",4.0,stop
6,6,"(4, (('4', '9'), ('1', '0')))",0.0,0
7,7,"(14, (('0', '2'), ('1', '1')))",4.0,stop
8,8,"(8, (('0', '6'), ('1', '1')))",4.0,stop
9,9,"(10, (('1', '7'), ('0', '1')))",3.7282613916279597,2
10,10,"(15, (('0', '9'), ('1', '0')))",4.0,stop
11,11,"(2, (('1', '2'), ('1', '1')))",3.84238404,2
12,12,"(4, (('3', '0'), ('1', '1')))",3.96,3
13,13,"(2, (('0', '8'), ('0', '0')))",3.96,1
14,14,"(0, (('1', '3'), ('1', '0')))",0.0,0
15,15,"(6, (('1', '4'), ('1', '0')))",3.8811959999999996,2
16,16,"(0, (('0', '9'), ('1', '1')))",4.0,stop
17,17,"(2, (('2', '1'), ('0', '0')))",3.7659205976039996,1
18,18,"(6, (('0', '8'), ('0', '1')))",3.9204,0
19,19,"(11, (('0', '9'), ('1', '1')))",4.0,stop
20,20,"(11, (('1', '3'), ('1', '0')))",3.8811959999999996,3
21,21,"(8, (('0', '0'), ('1', '1')))",4.0,stop
22,22,"(9, (('0', '4'), ('1', '0')))",4.0,stop
23,23,"(2, (('4', '0'), ('1', '1')))",2.0,stop
24,24,"(10, (('3', '2'), ('1', '1')))",3.84238404,0
25,25,"(9, (('3', '3'), ('1', '0')))",0.0,0
26,26,"(7, (('1', '0'), ('1', '1')))",3.84238404,2
27,27,"(9, (('1', '3'), ('1', '1')))",0.0,0
28,28,"(2, (('4', '9'), ('0', '0')))",0.0,0
29,29,"(15, (('1', '7'), ('0', '0')))",0.0,0
30,30,"(0, (('3', '3'), ('1', '1')))",0.0,0
31,31,"(11, (('3', '3'), ('1', '1')))",3.8039601995999996,0
32,32,"(2, (('0', '4'), ('1', '1')))",4.0,stop
33,33,"(0, (('0', '6'), ('1', '1')))",4.0,stop
