,index of state,state,value,policy
0,0,"(0, ('1', '0'))",0.0,0
1,1,"(8, ('2', '1'))",0.0,0
2,2,"(11, ('1', '0'))",0.9414801494009999,3
3,3,"(2, ('1', '0'))",0.9320653479069899,2
4,4,"(7, ('1', '1'))",1.0,stop
5,5,"(10, ('2', '1'))",0.0,0
6,6,"(12, ('0', '0'))",0.9043820750088043,1
7,7,"(13, ('1', '0'))",0.9702989999999999,3
8,8,"(3, ('0', '0'))",0.92274469442792,2
9,9,"(1, ('2', '1'))",0.0,0
10,10,"(14, ('0', '0'))",0.92274469442792,0
11,11,"(15, ('1', '0'))",0.0,0
12,12,"(5, ('0', '0'))",0.0,0
13,13,"(6, ('1', '0'))",0.9414801494009999,2
14,14,"(4, ('1', '0'))",0.99,3
15,15,"(12, ('2', '1'))",0.0,0
16,16,"(3, ('2', '1'))",0.0,0
17,17,"(9, ('1', '1'))",1.0,stop
18,18,"(14, ('2', '1'))",0.0,0
19,19,"(2, ('1', '1'))",1.0,stop
20,20,"(5, ('2', '1'))",0.0,0
21,21,"(0, ('1', '1'))",1.0,stop
22,22,"(7, ('0', '0'))",0.9320653479069899,2
23,23,"(8, ('1', '0'))",0.99,0
24,24,"(11, ('1', '1'))",1.0,stop
25,25,"(10, ('1', '0'))",0.9509900498999999,2
26,26,"(13, ('1', '1'))",1.0,stop
27,27,"(15, ('1', '1'))",1.0,stop
28,28,"(1, ('1', '0'))",0.92274469442792,1
29,29,"(6, ('1', '1'))",1.0,stop
30,30,"(7, ('2', '1'))",0.0,0
31,31,"(12, ('1', '0'))",0.9801,0
32,32,"(4, ('1', '1'))",1.0,stop
33,33,"(9, ('0', '0'))",0.0,0
34,34,"(2, ('0', '0'))",0.9135172474836407,1
35,35,"(3, ('1', '0'))",0.92274469442792,2
36,36,"(0, ('0', '0'))",0.0,0
37,37,"(8, ('1', '1'))",1.0,stop
38,38,"(11, ('0', '0'))",0.9320653479069899,1
39,39,"(13, ('0', '0'))",0.9135172474836407,1
40,40,"(5, ('1', '0'))",0.0,0
41,41,"(10, ('1', '1'))",1.0,stop
42,42,"(14, ('1', '0'))",0.96059601,3
43,43,"(15, ('0', '0'))",0.0,0
44,44,"(1, ('1', '1'))",1.0,stop
45,45,"(6, ('0', '0'))",0.92274469442792,1
46,46,"(9, ('2', '1'))",0.0,0
47,47,"(0, ('2', '1'))",0.0,0
48,48,"(11, ('2', '1'))",0.0,0
49,49,v_sink,0.0,0
50,50,"(2, ('2', '1'))",0.0,0
51,51,"(13, ('2', '1'))",0.0,0
52,52,"(7, ('1', '0'))",0.9320653479069899,2
53,53,"(4, ('0', '0'))",0.8863848717161291,2
54,54,"(12, ('1', '1'))",1.0,stop
55,55,"(15, ('2', '1'))",0.0,0
56,56,"(3, ('1', '1'))",1.0,stop
57,57,"(6, ('2', '1'))",0.0,0
58,58,"(8, ('0', '0'))",0.8953382542587163,2
59,59,"(14, ('1', '1'))",1.0,stop
60,60,"(5, ('1', '1'))",1.0,stop
61,61,"(10, ('0', '0'))",0.9320653479069899,1
62,62,"(1, ('0', '0'))",0.9043820750088043,1
63,63,"(4, ('2', '1'))",0.0,0
64,64,"(9, ('1', '0'))",0.0,0
