,index of state,state,value,policy
0,0,"(3, ('1', '0'))",1.0,stop
1,1,"(14, ('1', '0'))",1.0,stop
2,2,"(3, ('1', '1'))",1.0,stop
3,3,"(6, ('0', '0'))",0.81,1
4,4,"(14, ('1', '1'))",1.0,stop
5,5,"(5, ('1', '0'))",1.0,stop
6,6,"(5, ('1', '1'))",1.0,stop
7,7,"(12, ('2', '1'))",1.0,stop
8,8,"(3, ('2', '1'))",1.0,stop
9,9,"(14, ('2', '1'))",1.0,stop
10,10,"(5, ('2', '1'))",1.0,stop
11,11,"(4, ('0', '0'))",0.9,3
12,12,"(8, ('0', '0'))",0.9,0
13,13,"(7, ('1', '0'))",1.0,stop
14,14,"(7, ('1', '1'))",1.0,stop
15,15,"(10, ('0', '0'))",0.9,1
16,16,v_sink,0.0,0
17,17,"(1, ('0', '0'))",0.6561000000000001,1
18,18,"(15, ('0', '0'))",0.0,0
19,19,"(7, ('2', '1'))",1.0,stop
20,20,"(9, ('1', '0'))",1.0,stop
21,21,"(9, ('1', '1'))",1.0,stop
22,22,"(12, ('0', '0'))",0.81,0
23,23,"(0, ('1', '0'))",1.0,stop
24,24,"(11, ('1', '0'))",1.0,stop
25,25,"(0, ('1', '1'))",1.0,stop
26,26,"(3, ('0', '0'))",0.81,2
27,27,"(11, ('1', '1'))",1.0,stop
28,28,"(2, ('1', '0'))",1.0,stop
29,29,"(13, ('1', '0'))",1.0,stop
30,30,"(2, ('1', '1'))",1.0,stop
31,31,"(5, ('0', '0'))",0.0,0
32,32,"(6, ('1', '0'))",1.0,stop
33,33,"(9, ('2', '1'))",1.0,stop
34,34,"(13, ('1', '1'))",1.0,stop
35,35,"(0, ('2', '1'))",1.0,stop
36,36,"(11, ('2', '1'))",1.0,stop
37,37,"(14, ('0', '0'))",0.81,0
38,38,"(15, ('1', '1'))",1.0,stop
39,39,"(15, ('1', '0'))",1.0,stop
40,40,"(2, ('2', '1'))",1.0,stop
41,41,"(6, ('1', '1'))",1.0,stop
42,42,"(13, ('2', '1'))",1.0,stop
43,43,"(15, ('2', '1'))",1.0,stop
44,44,"(4, ('1', '0'))",1.0,stop
45,45,"(6, ('2', '1'))",1.0,stop
46,46,"(4, ('1', '1'))",1.0,stop
47,47,"(7, ('0', '0'))",0.9,2
48,48,"(8, ('1', '0'))",1.0,stop
49,49,"(4, ('2', '1'))",1.0,stop
50,50,"(8, ('1', '1'))",1.0,stop
51,51,"(1, ('1', '0'))",1.0,stop
52,52,"(10, ('1', '0'))",1.0,stop
53,53,"(10, ('1', '1'))",1.0,stop
54,54,"(1, ('1', '1'))",1.0,stop
55,55,"(8, ('2', '1'))",1.0,stop
56,56,"(10, ('2', '1'))",1.0,stop
57,57,"(11, ('0', '0'))",0.9,1
58,58,"(9, ('0', '0'))",0.0,0
59,59,"(1, ('2', '1'))",1.0,stop
60,60,"(2, ('0', '0'))",0.7290000000000001,1
61,61,"(13, ('0', '0'))",0.7290000000000001,1
62,62,"(0, ('0', '0'))",0.0,0
63,63,"(12, ('1', '0'))",1.0,stop
64,64,"(12, ('1', '1'))",1.0,stop
