,index of state,state,value,policy
0,0,"(4, ('1', '0'))",1.0,stop
1,1,"(8, ('1', '0'))",1.0,stop
2,2,"(11, ('0', '0'))",0.99,1
3,3,"(7, ('1', '1'))",1.0,stop
4,4,"(9, ('0', '0'))",0.0,0
5,5,"(12, ('2', '1'))",1.0,stop
6,6,"(10, ('1', '0'))",1.0,stop
7,7,"(2, ('0', '0'))",0.9702989999999999,1
8,8,"(3, ('2', '1'))",1.0,stop
9,9,"(0, ('0', '0'))",0.0,0
10,10,"(13, ('0', '0'))",0.9702989999999999,1
11,11,"(1, ('1', '0'))",1.0,stop
12,12,"(5, ('2', '1'))",1.0,stop
13,13,"(14, ('2', '1'))",1.0,stop
14,14,"(15, ('0', '0'))",0.0,0
15,15,v_sink,0.0,0
16,16,"(6, ('0', '0'))",0.9801,1
17,17,"(9, ('1', '1'))",1.0,stop
18,18,"(12, ('1', '0'))",1.0,stop
19,19,"(0, ('1', '1'))",1.0,stop
20,20,"(11, ('1', '1'))",1.0,stop
21,21,"(3, ('1', '0'))",1.0,stop
22,22,"(7, ('2', '1'))",1.0,stop
23,23,"(2, ('1', '1'))",1.0,stop
24,24,"(4, ('0', '0'))",0.99,3
25,25,"(13, ('1', '1'))",1.0,stop
26,26,"(5, ('1', '0'))",1.0,stop
27,27,"(14, ('1', '0'))",1.0,stop
28,28,"(8, ('0', '0'))",0.99,0
29,29,"(15, ('1', '1'))",1.0,stop
30,30,"(10, ('0', '0'))",0.99,1
31,31,"(6, ('1', '1'))",1.0,stop
32,32,"(1, ('0', '0'))",0.96059601,1
33,33,"(9, ('2', '1'))",1.0,stop
34,34,"(4, ('1', '1'))",1.0,stop
35,35,"(7, ('1', '0'))",1.0,stop
36,36,"(0, ('2', '1'))",1.0,stop
37,37,"(11, ('2', '1'))",1.0,stop
38,38,"(2, ('2', '1'))",1.0,stop
39,39,"(12, ('0', '0'))",0.9801,0
40,40,"(8, ('1', '1'))",1.0,stop
41,41,"(13, ('2', '1'))",1.0,stop
42,42,"(3, ('0', '0'))",0.9801,2
43,43,"(10, ('1', '1'))",1.0,stop
44,44,"(14, ('0', '0'))",0.9801,0
45,45,"(15, ('2', '1'))",1.0,stop
46,46,"(5, ('0', '0'))",0.0,0
47,47,"(1, ('1', '1'))",1.0,stop
48,48,"(6, ('2', '1'))",1.0,stop
49,49,"(4, ('2', '1'))",1.0,stop
50,50,"(9, ('1', '0'))",1.0,stop
51,51,"(2, ('1', '0'))",1.0,stop
52,52,"(13, ('1', '0'))",1.0,stop
53,53,"(0, ('1', '0'))",1.0,stop
54,54,"(11, ('1', '0'))",1.0,stop
55,55,"(12, ('1', '1'))",1.0,stop
56,56,"(15, ('1', '0'))",1.0,stop
57,57,"(7, ('0', '0'))",0.99,2
58,58,"(3, ('1', '1'))",1.0,stop
59,59,"(8, ('2', '1'))",1.0,stop
60,60,"(14, ('1', '1'))",1.0,stop
61,61,"(6, ('1', '0'))",1.0,stop
62,62,"(10, ('2', '1'))",1.0,stop
63,63,"(5, ('1', '1'))",1.0,stop
64,64,"(1, ('2', '1'))",1.0,stop
