,index of state,state,value,policy
0,0,"(6, ('1', '1'))",2.0,stop
1,1,"(6, ('1', '0'))",2.0,stop
2,2,"(8, ('2', '0'))",0.5904900000000002,2
3,3,"(4, ('1', '1'))",2.0,stop
4,4,"(4, ('1', '0'))",2.0,stop
5,5,"(9, ('0', '1'))",1.0,stop
6,6,"(0, ('0', '0'))",0.0,0
7,7,"(11, ('0', '0'))",1.8,1
8,8,"(8, ('1', '1'))",2.0,stop
9,9,"(8, ('1', '0'))",2.0,stop
10,10,"(15, ('0', '0'))",0.0,0
11,11,"(12, ('2', '0'))",0.6561000000000001,1
12,12,"(10, ('2', '1'))",1.0,stop
13,13,"(10, ('0', '1'))",1.8,1
14,14,"(12, ('2', '1'))",1.0,stop
15,15,"(12, ('0', '1'))",1.3122000000000003,1
16,16,"(5, ('0', '0'))",0.0,0
17,17,"(15, ('2', '0'))",0.0,0
18,18,"(2, ('2', '0'))",0.7290000000000001,1
19,19,"(0, ('1', '1'))",2.0,stop
20,20,"(0, ('1', '0'))",2.0,stop
21,21,"(11, ('1', '1'))",2.0,stop
22,22,"(11, ('1', '0'))",2.0,stop
23,23,"(7, ('0', '0'))",1.8,2
24,24,"(15, ('1', '1'))",2.0,stop
25,25,"(15, ('1', '0'))",2.0,stop
26,26,"(4, ('2', '0'))",0.5314410000000002,2
27,27,"(2, ('2', '1'))",1.0,stop
28,28,"(9, ('0', '0'))",0.0,0
29,29,"(2, ('0', '1'))",1.4580000000000002,1
30,30,"(6, ('2', '1'))",1.0,stop
31,31,"(13, ('0', '0'))",1.4580000000000002,1
32,32,"(6, ('0', '1'))",1.62,1
33,33,"(4, ('2', '1'))",1.0,stop
34,34,"(4, ('0', '1'))",1.0628820000000003,2
35,35,"(5, ('2', '0'))",0.0,0
36,36,"(8, ('2', '1'))",1.0,stop
37,37,"(8, ('0', '1'))",1.1809800000000004,2
38,38,"(5, ('1', '1'))",2.0,stop
39,39,"(5, ('1', '0'))",2.0,stop
40,40,"(1, ('0', '0'))",1.3122000000000003,1
41,41,"(7, ('1', '1'))",2.0,stop
42,42,"(7, ('1', '0'))",2.0,stop
43,43,"(3, ('0', '0'))",1.62,2
44,44,"(14, ('0', '0'))",1.62,0
45,45,"(0, ('2', '0'))",0.0,0
46,46,"(11, ('2', '0'))",0.9,1
47,47,"(9, ('1', '1'))",2.0,stop
48,48,"(9, ('1', '0'))",2.0,stop
49,49,"(13, ('1', '1'))",2.0,stop
50,50,"(13, ('1', '0'))",2.0,stop
51,51,"(0, ('2', '1'))",1.0,stop
52,52,"(11, ('2', '1'))",1.0,stop
53,53,"(0, ('0', '1'))",1.0,stop
54,54,"(11, ('0', '1'))",1.8,1
55,55,"(1, ('2', '0'))",0.6561000000000001,1
56,56,"(15, ('2', '1'))",1.0,stop
57,57,"(15, ('0', '1'))",1.0,stop
58,58,"(1, ('1', '1'))",2.0,stop
59,59,"(1, ('1', '0'))",2.0,stop
60,60,"(3, ('2', '0'))",0.81,2
61,61,"(14, ('2', '0'))",0.81,0
62,62,"(3, ('1', '1'))",2.0,stop
63,63,"(3, ('1', '0'))",2.0,stop
64,64,"(14, ('1', '1'))",2.0,stop
65,65,"(14, ('1', '0'))",2.0,stop
66,66,"(10, ('0', '0'))",1.8,1
67,67,"(7, ('2', '0'))",0.9,2
68,68,"(5, ('2', '1'))",1.0,stop
69,69,"(12, ('0', '0'))",1.3122000000000003,1
70,70,"(5, ('0', '1'))",1.0,stop
71,71,"(9, ('2', '0'))",0.0,0
72,72,"(7, ('2', '1'))",1.0,stop
73,73,"(13, ('2', '0'))",0.7290000000000001,1
74,74,"(7, ('0', '1'))",1.8,2
75,75,"(9, ('2', '1'))",1.0,stop
76,76,"(10, ('2', '0'))",0.9,1
77,77,"(13, ('2', '1'))",1.0,stop
78,78,"(13, ('0', '1'))",1.4580000000000002,1
79,79,"(2, ('0', '0'))",1.4580000000000002,1
80,80,"(10, ('1', '1'))",2.0,stop
81,81,"(10, ('1', '0'))",2.0,stop
82,82,"(6, ('0', '0'))",1.62,1
83,83,"(4, ('0', '0'))",1.0628820000000003,2
84,84,"(12, ('1', '1'))",2.0,stop
85,85,"(12, ('1', '0'))",2.0,stop
86,86,"(1, ('2', '1'))",1.0,stop
87,87,"(8, ('0', '0'))",1.1809800000000004,2
88,88,"(1, ('0', '1'))",1.3122000000000003,1
89,89,"(3, ('2', '1'))",1.0,stop
90,90,"(14, ('2', '1'))",1.0,stop
91,91,"(3, ('0', '1'))",1.62,2
92,92,"(14, ('0', '1'))",1.62,0
93,93,"(6, ('2', '0'))",0.81,1
94,94,"(2, ('1', '1'))",2.0,stop
95,95,"(2, ('1', '0'))",2.0,stop
96,96,v_sink,0.0,0
