,index of state,state,value,policy
0,0,"(12, ('1', '1'))",2.0,stop
1,1,"(12, ('0', '0'))",1.92119202,1
2,2,"(12, ('1', '0'))",2.0,stop
3,3,"(3, ('1', '1'))",2.0,stop
4,4,"(14, ('1', '1'))",2.0,stop
5,5,"(7, ('2', '1'))",1.0,stop
6,6,"(3, ('0', '0'))",1.9602,2
7,7,"(3, ('1', '0'))",2.0,stop
8,8,"(5, ('1', '1'))",2.0,stop
9,9,"(14, ('0', '0'))",1.9602,0
10,10,"(14, ('1', '0'))",2.0,stop
11,11,"(5, ('0', '0'))",0.0,0
12,12,"(5, ('1', '0'))",2.0,stop
13,13,"(9, ('2', '1'))",1.0,stop
14,14,"(15, ('1', '1'))",2.0,stop
15,15,"(7, ('1', '1'))",2.0,stop
16,16,"(0, ('2', '1'))",1.0,stop
17,17,"(7, ('0', '0'))",1.98,2
18,18,"(7, ('1', '0'))",2.0,stop
19,19,"(11, ('2', '1'))",1.0,stop
20,20,"(2, ('2', '1'))",1.0,stop
21,21,"(13, ('2', '1'))",1.0,stop
22,22,"(15, ('2', '1'))",1.0,stop
23,23,"(6, ('2', '1'))",1.0,stop
24,24,"(9, ('0', '0'))",0.0,0
25,25,"(9, ('1', '0'))",2.0,stop
26,26,"(0, ('1', '1'))",2.0,stop
27,27,"(11, ('1', '1'))",2.0,stop
28,28,"(4, ('2', '1'))",1.0,stop
29,29,"(0, ('0', '0'))",0.0,0
30,30,"(0, ('1', '0'))",2.0,stop
31,31,"(2, ('1', '1'))",2.0,stop
32,32,"(9, ('1', '1'))",2.0,stop
33,33,"(11, ('0', '0'))",1.98,1
34,34,"(2, ('0', '0'))",1.9405979999999998,1
35,35,"(2, ('1', '0'))",2.0,stop
36,36,"(11, ('1', '0'))",2.0,stop
37,37,"(13, ('0', '0'))",1.9405979999999998,1
38,38,"(13, ('1', '0'))",2.0,stop
39,39,"(8, ('2', '1'))",1.0,stop
40,40,"(13, ('1', '1'))",2.0,stop
41,41,"(15, ('0', '0'))",0.0,0
42,42,"(6, ('1', '1'))",2.0,stop
43,43,"(15, ('1', '0'))",2.0,stop
44,44,"(10, ('2', '1'))",1.0,stop
45,45,"(6, ('0', '0'))",1.9602,1
46,46,"(6, ('1', '0'))",2.0,stop
47,47,"(1, ('2', '1'))",1.0,stop
48,48,"(4, ('0', '0'))",1.8829602988019998,2
49,49,"(4, ('1', '0'))",2.0,stop
50,50,"(4, ('1', '1'))",2.0,stop
51,51,"(8, ('1', '1'))",2.0,stop
52,52,"(12, ('2', '1'))",1.0,stop
53,53,"(8, ('0', '0'))",1.9019800997999998,2
54,54,"(8, ('1', '0'))",2.0,stop
55,55,"(10, ('1', '1'))",2.0,stop
56,56,v_sink,0.0,0
57,57,"(3, ('2', '1'))",1.0,stop
58,58,"(10, ('0', '0'))",1.98,1
59,59,"(10, ('1', '0'))",2.0,stop
60,60,"(1, ('1', '1'))",2.0,stop
61,61,"(14, ('2', '1'))",1.0,stop
62,62,"(5, ('2', '1'))",1.0,stop
63,63,"(1, ('0', '0'))",1.92119202,1
64,64,"(1, ('1', '0'))",2.0,stop
