,index of state,state,value,policy
0,0,"(10, (('0', '0'), ('0', '0')))",3.96,1
1,1,"(12, (('0', '0'), ('0', '0')))",3.9204,0
2,2,"(1, (('1', '1'), ('1', '1')))",4.0,stop
3,3,"(5, (('2', '1'), ('1', '1')))",4.0,stop
4,4,"(14, (('1', '1'), ('1', '1')))",4.0,stop
5,5,"(3, (('1', '1'), ('1', '1')))",4.0,stop
6,6,"(0, (('2', '1'), ('1', '0')))",4.0,stop
7,7,"(11, (('2', '1'), ('1', '0')))",4.0,stop
8,8,"(0, (('1', '0'), ('0', '1')))",4.0,stop
9,9,"(11, (('1', '0'), ('0', '1')))",4.0,stop
10,10,"(15, (('2', '1'), ('1', '0')))",4.0,stop
11,11,"(15, (('1', '0'), ('0', '1')))",4.0,stop
12,12,"(7, (('2', '1'), ('1', '1')))",4.0,stop
13,13,"(2, (('0', '0'), ('0', '0')))",3.8811959999999996,1
14,14,"(9, (('2', '1'), ('1', '1')))",4.0,stop
15,15,"(4, (('0', '0'), ('0', '0')))",3.96,3
16,16,"(13, (('2', '1'), ('1', '1')))",4.0,stop
17,17,"(8, (('0', '0'), ('0', '0')))",3.96,0
18,18,"(5, (('2', '1'), ('1', '0')))",4.0,stop
19,19,"(5, (('1', '0'), ('0', '1')))",4.0,stop
20,20,"(1, (('2', '1'), ('1', '1')))",4.0,stop
21,21,"(10, (('1', '1'), ('1', '1')))",4.0,stop
22,22,"(7, (('2', '1'), ('1', '0')))",4.0,stop
23,23,"(7, (('1', '0'), ('0', '1')))",4.0,stop
24,24,"(3, (('2', '1'), ('1', '1')))",4.0,stop
25,25,"(14, (('2', '1'), ('1', '1')))",4.0,stop
26,26,"(12, (('1', '1'), ('1', '1')))",4.0,stop
27,27,"(9, (('2', '1'), ('1', '0')))",4.0,stop
28,28,"(9, (('1', '0'), ('0', '1')))",4.0,stop
29,29,"(13, (('2', '1'), ('1', '0')))",4.0,stop
30,30,"(13, (('1', '0'), ('0', '1')))",4.0,stop
31,31,"(0, (('0', '0'), ('0', '0')))",0.0,0
32,32,"(11, (('0', '0'), ('0', '0')))",3.96,1
33,33,"(15, (('0', '0'), ('0', '0')))",0.0,0
34,34,"(1, (('2', '1'), ('1', '0')))",4.0,stop
35,35,"(1, (('1', '0'), ('0', '1')))",4.0,stop
36,36,"(2, (('1', '1'), ('1', '1')))",4.0,stop
37,37,"(1, (('0', '0'), ('0', '0')))",3.84238404,1
38,38,"(6, (('1', '1'), ('1', '1')))",4.0,stop
39,39,"(3, (('2', '1'), ('1', '0')))",4.0,stop
40,40,"(14, (('2', '1'), ('1', '0')))",4.0,stop
41,41,"(3, (('1', '0'), ('0', '1')))",4.0,stop
42,42,"(14, (('1', '0'), ('0', '1')))",4.0,stop
43,43,"(4, (('1', '1'), ('1', '1')))",4.0,stop
44,44,"(10, (('2', '1'), ('1', '1')))",4.0,stop
45,45,"(8, (('1', '1'), ('1', '1')))",4.0,stop
46,46,"(5, (('0', '0'), ('0', '0')))",0.0,0
47,47,"(12, (('2', '1'), ('1', '1')))",4.0,stop
48,48,"(7, (('0', '0'), ('0', '0')))",3.96,2
49,49,"(9, (('0', '0'), ('0', '0')))",0.0,0
50,50,"(13, (('0', '0'), ('0', '0')))",0.0,0
51,51,"(10, (('2', '1'), ('1', '0')))",4.0,stop
52,52,"(10, (('1', '0'), ('0', '1')))",4.0,stop
53,53,"(2, (('2', '1'), ('1', '1')))",4.0,stop
54,54,"(11, (('1', '1'), ('1', '1')))",4.0,stop
55,55,"(0, (('1', '1'), ('1', '1')))",4.0,stop
56,56,"(6, (('2', '1'), ('1', '1')))",4.0,stop
57,57,"(15, (('1', '1'), ('1', '1')))",4.0,stop
58,58,"(12, (('2', '1'), ('1', '0')))",4.0,stop
59,59,"(12, (('1', '0'), ('0', '1')))",4.0,stop
60,60,"(4, (('2', '1'), ('1', '1')))",4.0,stop
61,61,"(8, (('2', '1'), ('1', '1')))",4.0,stop
62,62,"(3, (('0', '0'), ('0', '0')))",3.9204,2
63,63,"(14, (('0', '0'), ('0', '0')))",3.9204,0
64,64,"(5, (('1', '1'), ('1', '1')))",4.0,stop
65,65,"(2, (('2', '1'), ('1', '0')))",4.0,stop
66,66,"(2, (('1', '0'), ('0', '1')))",4.0,stop
67,67,"(6, (('2', '1'), ('1', '0')))",4.0,stop
68,68,"(6, (('1', '0'), ('0', '1')))",4.0,stop
69,69,"(7, (('1', '1'), ('1', '1')))",4.0,stop
70,70,"(4, (('2', '1'), ('1', '0')))",4.0,stop
71,71,"(6, (('0', '0'), ('0', '0')))",3.9204,1
72,72,"(4, (('1', '0'), ('0', '1')))",4.0,stop
73,73,v_sink,0.0,0
74,74,"(8, (('2', '1'), ('1', '0')))",4.0,stop
75,75,"(8, (('1', '0'), ('0', '1')))",4.0,stop
76,76,"(0, (('2', '1'), ('1', '1')))",4.0,stop
77,77,"(11, (('2', '1'), ('1', '1')))",4.0,stop
78,78,"(9, (('1', '1'), ('1', '1')))",4.0,stop
79,79,"(15, (('2', '1'), ('1', '1')))",4.0,stop
80,80,"(13, (('1', '1'), ('1', '1')))",4.0,stop
