,index of state,state,value,policy
0,0,"(5, ('2', '1'))",1.0,stop
1,1,"(12, ('1', '0'))",2.0,stop
2,2,"(13, ('1', '1'))",2.0,stop
3,3,"(7, ('2', '1'))",1.0,stop
4,4,"(0, ('2', '0'))",0.0,0
5,5,"(11, ('2', '0'))",0.9,1
6,6,"(1, ('0', '0'))",1.3122000000000003,1
7,7,"(15, ('2', '0'))",0.0,0
8,8,"(0, ('0', '1'))",1.0,stop
9,9,"(11, ('0', '1'))",1.8,1
10,10,"(9, ('2', '1'))",1.0,stop
11,11,"(1, ('1', '1'))",2.0,stop
12,12,"(3, ('0', '0'))",1.62,2
13,13,"(14, ('0', '0'))",1.62,0
14,14,"(15, ('0', '1'))",1.0,stop
15,15,"(13, ('2', '1'))",1.0,stop
16,16,"(2, ('1', '0'))",2.0,stop
17,17,"(3, ('1', '1'))",2.0,stop
18,18,"(14, ('1', '1'))",2.0,stop
19,19,"(6, ('1', '0'))",2.0,stop
20,20,"(1, ('0', '1'))",1.3122000000000003,1
21,21,"(4, ('1', '0'))",2.0,stop
22,22,"(1, ('2', '1'))",1.0,stop
23,23,"(5, ('2', '0'))",0.0,0
24,24,"(8, ('1', '0'))",2.0,stop
25,25,v_sink,0.0,0
26,26,"(3, ('2', '1'))",1.0,stop
27,27,"(14, ('2', '1'))",1.0,stop
28,28,"(7, ('2', '0'))",0.9,2
29,29,"(7, ('0', '1'))",1.8,2
30,30,"(9, ('2', '0'))",0.0,0
31,31,"(10, ('0', '0'))",1.8,1
32,32,"(13, ('2', '0'))",0.0,0
33,33,"(9, ('0', '1'))",1.0,stop
34,34,"(10, ('1', '1'))",2.0,stop
35,35,"(12, ('0', '0'))",0.0,0
36,36,"(13, ('0', '1'))",1.0,stop
37,37,"(0, ('1', '0'))",2.0,stop
38,38,"(11, ('1', '0'))",2.0,stop
39,39,"(12, ('1', '1'))",2.0,stop
40,40,"(1, ('2', '0'))",0.6561000000000001,1
41,41,"(15, ('1', '0'))",2.0,stop
42,42,"(10, ('0', '1'))",1.8,1
43,43,"(10, ('2', '1'))",1.0,stop
44,44,"(3, ('2', '0'))",0.81,2
45,45,"(14, ('2', '0'))",0.81,0
46,46,"(2, ('0', '0'))",1.4580000000000002,1
47,47,"(3, ('0', '1'))",1.62,2
48,48,"(14, ('0', '1'))",1.62,0
49,49,"(12, ('2', '1'))",1.0,stop
50,50,"(6, ('0', '0'))",1.62,1
51,51,"(2, ('1', '1'))",2.0,stop
52,52,"(4, ('0', '0'))",0.0,0
53,53,"(5, ('1', '0'))",2.0,stop
54,54,"(6, ('1', '1'))",2.0,stop
55,55,"(8, ('0', '0'))",0.0,0
56,56,"(4, ('1', '1'))",2.0,stop
57,57,"(7, ('1', '0'))",2.0,stop
58,58,"(8, ('1', '1'))",2.0,stop
59,59,"(6, ('0', '1'))",1.62,1
60,60,"(2, ('2', '1'))",1.0,stop
61,61,"(9, ('1', '0'))",2.0,stop
62,62,"(6, ('2', '1'))",1.0,stop
63,63,"(10, ('2', '0'))",0.9,1
64,64,"(13, ('1', '0'))",2.0,stop
65,65,"(4, ('2', '1'))",1.0,stop
66,66,"(8, ('2', '1'))",1.0,stop
67,67,"(12, ('2', '0'))",0.0,0
68,68,"(0, ('0', '0'))",0.0,0
69,69,"(11, ('0', '0'))",1.8,1
70,70,"(12, ('0', '1'))",1.0,stop
71,71,"(1, ('1', '0'))",2.0,stop
72,72,"(15, ('0', '0'))",0.0,0
73,73,"(11, ('1', '1'))",2.0,stop
74,74,"(0, ('1', '1'))",2.0,stop
75,75,"(3, ('1', '0'))",2.0,stop
76,76,"(14, ('1', '0'))",2.0,stop
77,77,"(15, ('1', '1'))",2.0,stop
78,78,"(2, ('2', '0'))",0.7290000000000001,1
79,79,"(6, ('2', '0'))",0.81,1
80,80,"(2, ('0', '1'))",1.4580000000000002,1
81,81,"(0, ('2', '1'))",1.0,stop
82,82,"(11, ('2', '1'))",1.0,stop
83,83,"(4, ('2', '0'))",0.0,0
84,84,"(5, ('0', '0'))",0.0,0
85,85,"(15, ('2', '1'))",1.0,stop
86,86,"(8, ('2', '0'))",0.0,0
87,87,"(4, ('0', '1'))",1.0,stop
88,88,"(5, ('1', '1'))",2.0,stop
89,89,"(7, ('0', '0'))",1.8,2
90,90,"(8, ('0', '1'))",1.0,stop
91,91,"(7, ('1', '1'))",2.0,stop
92,92,"(9, ('0', '0'))",0.0,0
93,93,"(10, ('1', '0'))",2.0,stop
94,94,"(5, ('0', '1'))",1.0,stop
95,95,"(13, ('0', '0'))",0.0,0
96,96,"(9, ('1', '1'))",2.0,stop
