,index of state,state,value,policy
0,0,"(1, ('1', '0'))",0.43046721000000016,1
1,1,"(12, ('2', '1'))",0.0,0
2,2,"(3, ('2', '1'))",0.0,0
3,3,"(7, ('1', '1'))",1.0,stop
4,4,"(14, ('2', '1'))",0.0,0
5,5,"(5, ('2', '1'))",0.0,0
6,6,"(7, ('0', '0'))",0.47829690000000014,2
7,7,"(12, ('1', '0'))",0.81,0
8,8,"(3, ('1', '0'))",0.43046721000000016,2
9,9,"(14, ('1', '0'))",0.6561000000000001,3
10,10,"(5, ('1', '0'))",0.0,0
11,11,"(9, ('1', '1'))",1.0,stop
12,12,v_sink,0.0,0
13,13,"(0, ('1', '1'))",1.0,stop
14,14,"(7, ('2', '1'))",0.0,0
15,15,"(11, ('1', '1'))",1.0,stop
16,16,"(9, ('0', '0'))",0.0,0
17,17,"(2, ('1', '1'))",1.0,stop
18,18,"(13, ('1', '1'))",1.0,stop
19,19,"(0, ('0', '0'))",0.0,0
20,20,"(11, ('0', '0'))",0.47829690000000014,1
21,21,"(15, ('1', '1'))",1.0,stop
22,22,"(2, ('0', '0'))",0.38742048900000015,1
23,23,"(7, ('1', '0'))",0.47829690000000014,2
24,24,"(13, ('0', '0'))",0.38742048900000015,1
25,25,"(6, ('1', '1'))",1.0,stop
26,26,"(15, ('0', '0'))",0.0,0
27,27,"(9, ('2', '1'))",0.0,0
28,28,"(6, ('0', '0'))",0.43046721000000016,1
29,29,"(0, ('2', '1'))",0.0,0
30,30,"(4, ('1', '1'))",1.0,stop
31,31,"(11, ('2', '1'))",0.0,0
32,32,"(2, ('2', '1'))",0.0,0
33,33,"(13, ('2', '1'))",0.0,0
34,34,"(4, ('0', '0'))",0.28242953648100017,2
35,35,"(9, ('1', '0'))",0.0,0
36,36,"(8, ('1', '1'))",1.0,stop
37,37,"(15, ('2', '1'))",0.0,0
38,38,"(0, ('1', '0'))",0.0,0
39,39,"(11, ('1', '0'))",0.5314410000000002,3
40,40,"(6, ('2', '1'))",0.0,0
41,41,"(10, ('1', '1'))",1.0,stop
42,42,"(2, ('1', '0'))",0.47829690000000014,2
43,43,"(8, ('0', '0'))",0.31381059609000017,2
44,44,"(1, ('1', '1'))",1.0,stop
45,45,"(13, ('1', '0'))",0.7290000000000001,3
46,46,"(10, ('0', '0'))",0.47829690000000014,1
47,47,"(15, ('1', '0'))",0.0,0
48,48,"(4, ('2', '1'))",0.0,0
49,49,"(1, ('0', '0'))",0.34867844010000015,1
50,50,"(6, ('1', '0'))",0.5314410000000002,2
51,51,"(8, ('2', '1'))",0.0,0
52,52,"(12, ('1', '1'))",1.0,stop
53,53,"(4, ('1', '0'))",0.9,3
54,54,"(3, ('1', '1'))",1.0,stop
55,55,"(10, ('2', '1'))",0.0,0
56,56,"(14, ('1', '1'))",1.0,stop
57,57,"(12, ('0', '0'))",0.34867844010000015,1
58,58,"(1, ('2', '1'))",0.0,0
59,59,"(5, ('1', '1'))",1.0,stop
60,60,"(3, ('0', '0'))",0.43046721000000016,2
61,61,"(8, ('1', '0'))",0.9,0
62,62,"(14, ('0', '0'))",0.43046721000000016,0
63,63,"(5, ('0', '0'))",0.0,0
64,64,"(10, ('1', '0'))",0.5904900000000002,2
