,index of state,state,value,policy
0,0,"(0, (('0', '0'), ('0', '0')))",0.0,0
1,1,"(11, (('0', '0'), ('0', '0')))",3.7282613916279597,1
2,2,"(15, (('0', '0'), ('0', '0')))",0.0,0
3,3,"(2, (('2', '1'), ('1', '1')))",2.0,stop
4,4,"(2, (('1', '0'), ('0', '1')))",3.7282613916279597,2
5,5,"(6, (('2', '1'), ('1', '1')))",2.0,stop
6,6,"(0, (('2', '1'), ('1', '0')))",2.0,stop
7,7,"(11, (('2', '1'), ('1', '0')))",2.0,stop
8,8,"(1, (('1', '1'), ('1', '1')))",4.0,stop
9,9,"(6, (('1', '0'), ('0', '1')))",3.7659205976039996,2
10,10,"(4, (('2', '1'), ('1', '1')))",2.0,stop
11,11,"(15, (('2', '1'), ('1', '0')))",2.0,stop
12,12,"(4, (('1', '0'), ('0', '1')))",3.96,3
13,13,"(8, (('2', '1'), ('1', '1')))",2.0,stop
14,14,"(3, (('1', '1'), ('1', '1')))",4.0,stop
15,15,"(8, (('1', '0'), ('0', '1')))",3.96,0
16,16,"(14, (('1', '1'), ('1', '1')))",4.0,stop
17,17,"(5, (('0', '0'), ('0', '0')))",0.0,0
18,18,"(7, (('0', '0'), ('0', '0')))",3.7282613916279597,2
19,19,v_sink,0.0,0
20,20,"(5, (('2', '1'), ('1', '0')))",2.0,stop
21,21,"(9, (('0', '0'), ('0', '0')))",0.0,0
22,22,"(7, (('2', '1'), ('1', '0')))",2.0,stop
23,23,"(13, (('0', '0'), ('0', '0')))",3.654068989934563,1
24,24,"(0, (('2', '1'), ('1', '1')))",2.0,stop
25,25,"(11, (('2', '1'), ('1', '1')))",2.0,stop
26,26,"(0, (('1', '0'), ('0', '1')))",3.0,stop
27,27,"(11, (('1', '0'), ('0', '1')))",3.7659205976039996,3
28,28,"(15, (('2', '1'), ('1', '1')))",2.0,stop
29,29,"(9, (('2', '1'), ('1', '0')))",2.0,stop
30,30,"(10, (('1', '1'), ('1', '1')))",4.0,stop
31,31,"(15, (('1', '0'), ('0', '1')))",3.0,stop
32,32,"(13, (('2', '1'), ('1', '0')))",2.0,stop
33,33,"(12, (('1', '1'), ('1', '1')))",4.0,stop
34,34,"(1, (('0', '0'), ('0', '0')))",3.617528300035217,1
35,35,"(3, (('0', '0'), ('0', '0')))",3.69097877771168,2
36,36,"(14, (('0', '0'), ('0', '0')))",3.69097877771168,0
37,37,"(1, (('2', '1'), ('1', '0')))",2.0,stop
38,38,"(5, (('2', '1'), ('1', '1')))",2.0,stop
39,39,"(5, (('1', '0'), ('0', '1')))",3.0,stop
40,40,"(3, (('2', '1'), ('1', '0')))",2.0,stop
41,41,"(14, (('2', '1'), ('1', '0')))",2.0,stop
42,42,"(7, (('2', '1'), ('1', '1')))",2.0,stop
43,43,"(2, (('1', '1'), ('1', '1')))",4.0,stop
44,44,"(7, (('1', '0'), ('0', '1')))",3.7282613916279597,2
45,45,"(6, (('1', '1'), ('1', '1')))",4.0,stop
46,46,"(9, (('2', '1'), ('1', '1')))",2.0,stop
47,47,"(4, (('1', '1'), ('1', '1')))",4.0,stop
48,48,"(9, (('1', '0'), ('0', '1')))",3.0,stop
49,49,"(13, (('2', '1'), ('1', '1')))",2.0,stop
50,50,"(8, (('1', '1'), ('1', '1')))",4.0,stop
51,51,"(13, (('1', '0'), ('0', '1')))",3.8811959999999996,3
52,52,"(10, (('0', '0'), ('0', '0')))",3.7282613916279597,1
53,53,"(1, (('2', '1'), ('1', '1')))",2.0,stop
54,54,"(1, (('1', '0'), ('0', '1')))",3.69097877771168,1
55,55,"(12, (('0', '0'), ('0', '0')))",3.617528300035217,1
56,56,"(10, (('2', '1'), ('1', '0')))",2.0,stop
57,57,"(3, (('2', '1'), ('1', '1')))",2.0,stop
58,58,"(14, (('2', '1'), ('1', '1')))",2.0,stop
59,59,"(3, (('1', '0'), ('0', '1')))",3.69097877771168,2
60,60,"(14, (('1', '0'), ('0', '1')))",3.84238404,3
61,61,"(12, (('2', '1'), ('1', '0')))",2.0,stop
62,62,"(0, (('1', '1'), ('1', '1')))",4.0,stop
63,63,"(11, (('1', '1'), ('1', '1')))",4.0,stop
64,64,"(15, (('1', '1'), ('1', '1')))",4.0,stop
65,65,"(2, (('0', '0'), ('0', '0')))",3.654068989934563,1
66,66,"(6, (('0', '0'), ('0', '0')))",3.69097877771168,1
67,67,"(4, (('0', '0'), ('0', '0')))",3.5455394868645165,2
68,68,"(2, (('2', '1'), ('1', '0')))",2.0,stop
69,69,"(8, (('0', '0'), ('0', '0')))",3.581353017034865,2
70,70,"(6, (('2', '1'), ('1', '0')))",2.0,stop
71,71,"(10, (('2', '1'), ('1', '1')))",2.0,stop
72,72,"(4, (('2', '1'), ('1', '0')))",2.0,stop
73,73,"(5, (('1', '1'), ('1', '1')))",4.0,stop
74,74,"(10, (('1', '0'), ('0', '1')))",3.8039601995999996,2
75,75,"(8, (('2', '1'), ('1', '0')))",2.0,stop
76,76,"(12, (('2', '1'), ('1', '1')))",2.0,stop
77,77,"(7, (('1', '1'), ('1', '1')))",4.0,stop
78,78,"(12, (('1', '0'), ('0', '1')))",3.9204,0
79,79,"(9, (('1', '1'), ('1', '1')))",4.0,stop
80,80,"(13, (('1', '1'), ('1', '1')))",4.0,stop
