,index of state,state,value,policy
0,0,"(8, (('2', '1'), ('1', '0')))",4.0,stop
1,1,"(3, (('2', '1'), ('1', '1')))",4.0,stop
2,2,"(14, (('2', '1'), ('1', '1')))",4.0,stop
3,3,"(1, (('1', '0'), ('0', '1')))",4.0,stop
4,4,"(10, (('1', '1'), ('1', '1')))",4.0,stop
5,5,v_sink,0.0,0
6,6,"(5, (('0', '0'), ('0', '0')))",0.0,0
7,7,"(3, (('1', '0'), ('0', '1')))",4.0,stop
8,8,"(12, (('1', '1'), ('1', '1')))",4.0,stop
9,9,"(14, (('1', '0'), ('0', '1')))",4.0,stop
10,10,"(7, (('0', '0'), ('0', '0')))",3.96,2
11,11,"(9, (('0', '0'), ('0', '0')))",0.0,0
12,12,"(6, (('2', '1'), ('1', '1')))",4.0,stop
13,13,"(13, (('0', '0'), ('0', '0')))",3.8811959999999996,1
14,14,"(0, (('2', '1'), ('1', '0')))",4.0,stop
15,15,"(11, (('2', '1'), ('1', '0')))",4.0,stop
16,16,"(2, (('1', '1'), ('1', '1')))",4.0,stop
17,17,"(15, (('2', '1'), ('1', '0')))",4.0,stop
18,18,"(10, (('2', '1'), ('1', '1')))",4.0,stop
19,19,"(6, (('1', '1'), ('1', '1')))",4.0,stop
20,20,"(4, (('1', '1'), ('1', '1')))",4.0,stop
21,21,"(1, (('0', '0'), ('0', '0')))",3.84238404,1
22,22,"(12, (('2', '1'), ('1', '1')))",4.0,stop
23,23,"(8, (('1', '1'), ('1', '1')))",4.0,stop
24,24,"(10, (('1', '0'), ('0', '1')))",4.0,stop
25,25,"(3, (('0', '0'), ('0', '0')))",3.9204,2
26,26,"(14, (('0', '0'), ('0', '0')))",3.9204,0
27,27,"(12, (('1', '0'), ('0', '1')))",4.0,stop
28,28,"(5, (('2', '1'), ('1', '0')))",4.0,stop
29,29,"(7, (('2', '1'), ('1', '0')))",4.0,stop
30,30,"(2, (('2', '1'), ('1', '1')))",4.0,stop
31,31,"(9, (('2', '1'), ('1', '0')))",4.0,stop
32,32,"(4, (('2', '1'), ('1', '1')))",4.0,stop
33,33,"(2, (('1', '0'), ('0', '1')))",4.0,stop
34,34,"(0, (('1', '1'), ('1', '1')))",4.0,stop
35,35,"(11, (('1', '1'), ('1', '1')))",4.0,stop
36,36,"(13, (('2', '1'), ('1', '0')))",4.0,stop
37,37,"(8, (('2', '1'), ('1', '1')))",4.0,stop
38,38,"(6, (('1', '0'), ('0', '1')))",4.0,stop
39,39,"(15, (('1', '1'), ('1', '1')))",4.0,stop
40,40,"(4, (('1', '0'), ('0', '1')))",4.0,stop
41,41,"(10, (('0', '0'), ('0', '0')))",3.96,1
42,42,"(8, (('1', '0'), ('0', '1')))",4.0,stop
43,43,"(12, (('0', '0'), ('0', '0')))",3.9204,0
44,44,"(1, (('2', '1'), ('1', '0')))",4.0,stop
45,45,"(3, (('2', '1'), ('1', '0')))",4.0,stop
46,46,"(14, (('2', '1'), ('1', '0')))",4.0,stop
47,47,"(5, (('1', '1'), ('1', '1')))",4.0,stop
48,48,"(0, (('2', '1'), ('1', '1')))",4.0,stop
49,49,"(11, (('2', '1'), ('1', '1')))",4.0,stop
50,50,"(7, (('1', '1'), ('1', '1')))",4.0,stop
51,51,"(15, (('2', '1'), ('1', '1')))",4.0,stop
52,52,"(2, (('0', '0'), ('0', '0')))",3.8811959999999996,1
53,53,"(0, (('1', '0'), ('0', '1')))",4.0,stop
54,54,"(9, (('1', '1'), ('1', '1')))",4.0,stop
55,55,"(11, (('1', '0'), ('0', '1')))",4.0,stop
56,56,"(6, (('0', '0'), ('0', '0')))",3.9204,1
57,57,"(15, (('1', '0'), ('0', '1')))",4.0,stop
58,58,"(13, (('1', '1'), ('1', '1')))",4.0,stop
59,59,"(4, (('0', '0'), ('0', '0')))",3.96,3
60,60,"(1, (('2', '1'), ('1', '1')))",4.0,stop
61,61,"(8, (('0', '0'), ('0', '0')))",3.96,0
62,62,"(10, (('2', '1'), ('1', '0')))",4.0,stop
63,63,"(5, (('2', '1'), ('1', '1')))",4.0,stop
64,64,"(1, (('1', '1'), ('1', '1')))",4.0,stop
65,65,"(12, (('2', '1'), ('1', '0')))",4.0,stop
66,66,"(7, (('2', '1'), ('1', '1')))",4.0,stop
67,67,"(3, (('1', '1'), ('1', '1')))",4.0,stop
68,68,"(5, (('1', '0'), ('0', '1')))",4.0,stop
69,69,"(14, (('1', '1'), ('1', '1')))",4.0,stop
70,70,"(9, (('2', '1'), ('1', '1')))",4.0,stop
71,71,"(7, (('1', '0'), ('0', '1')))",4.0,stop
72,72,"(13, (('2', '1'), ('1', '1')))",4.0,stop
73,73,"(0, (('0', '0'), ('0', '0')))",0.0,0
74,74,"(11, (('0', '0'), ('0', '0')))",3.96,1
75,75,"(9, (('1', '0'), ('0', '1')))",4.0,stop
76,76,"(15, (('0', '0'), ('0', '0')))",0.0,0
77,77,"(13, (('1', '0'), ('0', '1')))",4.0,stop
78,78,"(2, (('2', '1'), ('1', '0')))",4.0,stop
79,79,"(6, (('2', '1'), ('1', '0')))",4.0,stop
80,80,"(4, (('2', '1'), ('1', '0')))",4.0,stop
