,index of state,state,value,policy
0,0,"(1, ('1', '0'))",2.0,stop
1,1,"(5, ('1', '1'))",2.0,stop
2,2,"(8, ('0', '0'))",1.98,0
3,3,"(10, ('1', '0'))",2.0,stop
4,4,"(12, ('0', '1'))",1.9602,0
5,5,"(3, ('0', '1'))",1.84548938885584,2
6,6,"(10, ('0', '0'))",1.9019800997999998,2
7,7,"(14, ('0', '1'))",1.92119202,3
8,8,"(1, ('0', '0'))",1.84548938885584,1
9,9,"(5, ('0', '1'))",1.0,stop
10,10,"(12, ('1', '0'))",2.0,stop
11,11,"(3, ('1', '0'))",2.0,stop
12,12,"(7, ('1', '1'))",2.0,stop
13,13,"(14, ('1', '0'))",2.0,stop
14,14,"(5, ('1', '0'))",2.0,stop
15,15,"(12, ('0', '0'))",1.9602,0
16,16,"(3, ('0', '0'))",1.84548938885584,2
17,17,"(4, ('0', '0'))",1.98,3
18,18,"(7, ('0', '1'))",1.8641306958139798,2
19,19,"(14, ('0', '0'))",1.92119202,3
20,20,"(5, ('0', '0'))",0.0,0
21,21,"(0, ('1', '1'))",2.0,stop
22,22,"(7, ('1', '0'))",2.0,stop
23,23,"(9, ('1', '1'))",2.0,stop
24,24,"(11, ('1', '1'))",2.0,stop
25,25,"(12, ('1', '1'))",2.0,stop
26,26,"(2, ('1', '1'))",2.0,stop
27,27,"(13, ('1', '1'))",2.0,stop
28,28,"(14, ('1', '1'))",2.0,stop
29,29,"(9, ('0', '1'))",1.0,stop
30,30,"(15, ('1', '1'))",2.0,stop
31,31,"(0, ('0', '1'))",1.0,stop
32,32,"(6, ('1', '1'))",2.0,stop
33,33,"(7, ('0', '0'))",1.8641306958139798,2
34,34,"(11, ('0', '1'))",1.8829602988019998,3
35,35,"(2, ('0', '1'))",1.8641306958139798,2
36,36,"(13, ('0', '1'))",1.9405979999999998,3
37,37,"(9, ('1', '0'))",2.0,stop
38,38,"(15, ('0', '1'))",1.0,stop
39,39,"(0, ('1', '0'))",2.0,stop
40,40,"(11, ('1', '0'))",2.0,stop
41,41,"(6, ('0', '1'))",1.8829602988019998,2
42,42,"(2, ('1', '0'))",2.0,stop
43,43,"(13, ('1', '0'))",2.0,stop
44,44,"(4, ('1', '1'))",2.0,stop
45,45,"(8, ('1', '1'))",2.0,stop
46,46,"(9, ('0', '0'))",0.0,0
47,47,"(15, ('1', '0'))",2.0,stop
48,48,"(0, ('0', '0'))",0.0,0
49,49,"(4, ('0', '1'))",1.98,3
50,50,"(6, ('1', '0'))",2.0,stop
51,51,"(10, ('1', '1'))",2.0,stop
52,52,"(11, ('0', '0'))",1.8829602988019998,3
53,53,"(1, ('1', '1'))",2.0,stop
54,54,"(2, ('0', '0'))",1.8641306958139798,2
55,55,"(13, ('0', '0'))",1.9405979999999998,3
56,56,"(8, ('0', '1'))",1.98,0
57,57,"(4, ('1', '0'))",2.0,stop
58,58,"(15, ('0', '0'))",0.0,0
59,59,"(6, ('0', '0'))",1.8829602988019998,2
60,60,"(10, ('0', '1'))",1.9019800997999998,2
61,61,v_sink,0.0,0
62,62,"(1, ('0', '1'))",1.84548938885584,1
63,63,"(8, ('1', '0'))",2.0,stop
64,64,"(3, ('1', '1'))",2.0,stop
