,index of state,state,value,policy
0,0,"(5, ('2', '1'))",1.0,stop
1,1,"(3, ('2', '1'))",1.0,stop
2,2,"(10, ('1', '0'))",2.0,stop
3,3,"(12, ('0', '0'))",0.9801,0
4,4,"(3, ('0', '0'))",1.9602,2
5,5,"(1, ('1', '0'))",2.0,stop
6,6,"(14, ('0', '0'))",1.9602,0
7,7,"(4, ('1', '1'))",2.0,stop
8,8,v_sink,0.0,0
9,9,"(5, ('0', '0'))",0.0,0
10,10,"(8, ('1', '1'))",2.0,stop
11,11,"(10, ('1', '1'))",2.0,stop
12,12,"(1, ('1', '1'))",2.0,stop
13,13,"(12, ('1', '0'))",2.0,stop
14,14,"(7, ('2', '1'))",1.0,stop
15,15,"(3, ('1', '0'))",2.0,stop
16,16,"(14, ('1', '0'))",2.0,stop
17,17,"(7, ('0', '0'))",1.98,2
18,18,"(5, ('1', '0'))",2.0,stop
19,19,"(3, ('1', '1'))",2.0,stop
20,20,"(14, ('1', '1'))",2.0,stop
21,21,"(12, ('1', '1'))",2.0,stop
22,22,"(5, ('1', '1'))",2.0,stop
23,23,"(9, ('2', '1'))",1.0,stop
24,24,"(0, ('2', '1'))",1.0,stop
25,25,"(7, ('1', '0'))",2.0,stop
26,26,"(11, ('2', '1'))",1.0,stop
27,27,"(15, ('2', '1'))",1.0,stop
28,28,"(2, ('2', '1'))",1.0,stop
29,29,"(0, ('0', '0'))",0.0,0
30,30,"(9, ('0', '0'))",0.0,0
31,31,"(11, ('0', '0'))",1.98,1
32,32,"(6, ('2', '1'))",1.0,stop
33,33,"(2, ('0', '0'))",1.9405979999999998,1
34,34,"(13, ('2', '1'))",1.0,stop
35,35,"(13, ('0', '0'))",0.0,0
36,36,"(15, ('0', '0'))",0.0,0
37,37,"(6, ('0', '0'))",1.9602,1
38,38,"(7, ('1', '1'))",2.0,stop
39,39,"(4, ('2', '1'))",1.0,stop
40,40,"(11, ('1', '0'))",2.0,stop
41,41,"(9, ('1', '0'))",2.0,stop
42,42,"(2, ('1', '0'))",2.0,stop
43,43,"(13, ('1', '0'))",2.0,stop
44,44,"(0, ('1', '0'))",2.0,stop
45,45,"(10, ('2', '1'))",1.0,stop
46,46,"(8, ('2', '1'))",1.0,stop
47,47,"(4, ('0', '0'))",0.99,3
48,48,"(15, ('1', '0'))",2.0,stop
49,49,"(1, ('2', '1'))",1.0,stop
50,50,"(8, ('0', '0'))",0.99,0
51,51,"(6, ('1', '0'))",2.0,stop
52,52,"(9, ('1', '1'))",2.0,stop
53,53,"(10, ('0', '0'))",1.98,1
54,54,"(13, ('1', '1'))",2.0,stop
55,55,"(0, ('1', '1'))",2.0,stop
56,56,"(11, ('1', '1'))",2.0,stop
57,57,"(1, ('0', '0'))",1.92119202,1
58,58,"(15, ('1', '1'))",2.0,stop
59,59,"(2, ('1', '1'))",2.0,stop
60,60,"(6, ('1', '1'))",2.0,stop
61,61,"(4, ('1', '0'))",2.0,stop
62,62,"(14, ('2', '1'))",1.0,stop
63,63,"(12, ('2', '1'))",1.0,stop
64,64,"(8, ('1', '0'))",2.0,stop
