	State	Value
0	((0, 0), '2')	1.0
1	((0, 0), '0')	0.048141714215001366
2	((0, 0), '1')	0.867481461915514
3	((0, 1), '2')	1.0
4	((0, 1), '0')	0.05292554879881316
5	((0, 1), '1')	0.7712014482568638
6	((0, 2), '2')	1.0
7	((0, 2), '0')	0.0512885649394059
8	((0, 2), '1')	0.683048218723731
9	((0, 3), '2')	1.0
10	((0, 3), '0')	0.0
11	((0, 3), '1')	0.0
12	((0, 4), '2')	1.0
13	((0, 4), '0')	0.0
14	((0, 4), '1')	0.0
15	((0, 5), '2')	1.0
16	((0, 5), '0')	0.15752266926140818
17	((0, 5), '1')	0.18527667546452503
18	((0, 6), '2')	1.0
19	((0, 6), '0')	0.17697295579895164
20	((0, 6), '1')	0.17968834596504324
21	((0, 7), '2')	1.0
22	((0, 7), '0')	0.1575253782386273
23	((0, 7), '1')	0.1599423738809726
24	((1, 0), '2')	1.0
25	((1, 0), '0')	0.054230084088552864
26	((1, 0), '1')	0.876051280587446
27	((1, 1), '2')	1.0
28	((1, 1), '0')	0.06107892177071736
29	((1, 1), '1')	0.8578518370508426
30	((1, 2), '2')	1.0
31	((1, 2), '0')	0.06461842437154544
32	((1, 2), '1')	0.7367648477072575
33	((1, 3), '2')	1.0
34	((1, 3), '0')	0.0
35	((1, 3), '1')	0.0
36	((1, 4), '2')	1.0
37	((1, 4), '0')	0.0
38	((1, 4), '1')	0.0
39	((1, 5), '2')	1.0
40	((1, 5), '0')	0.17694556502929187
41	((1, 5), '1')	0.23486767267732095
42	((1, 6), '2')	1.0
43	((1, 6), '0')	0.1592731950497871
44	((1, 6), '1')	0.20641476600548392
45	((1, 7), '2')	1.0
46	((1, 7), '0')	0.17697295579895164
47	((1, 7), '1')	0.1796883459650432
48	((2, 0), '2')	1.0
49	((2, 0), '0')	0.06090593550169241
50	((2, 0), '1')	0.8664216557227745
51	((2, 1), '2')	1.0
52	((2, 1), '0')	0.0699757722351507
53	((2, 1), '1')	0.7604856300858306
54	((2, 2), '2')	1.0
55	((2, 2), '0')	0.08211294640580677
