	State	Value
0	((0, 0), '2')	0.07585539556500968
1	((0, 0), 'sink')	0.0
2	((0, 0), '3')	1.0
3	((0, 0), '0')	0.02195340106860122
4	((0, 0), '1')	0.9674267100977199
5	((0, 1), '2')	0.07524901664087326
6	((0, 1), 'sink')	0.0
7	((0, 1), '3')	1.0
8	((0, 1), '0')	0.022146816462716976
9	((0, 1), '1')	0.9467041559675723
10	((0, 2), '2')	0.07371586359226923
11	((0, 2), 'sink')	0.0
12	((0, 2), '3')	1.0
13	((0, 2), '0')	0.022227012988210896
14	((0, 2), '1')	0.8912526600858629
15	((0, 3), '2')	0.0
16	((0, 3), 'sink')	0.0
17	((0, 3), '3')	1.0
18	((0, 3), '0')	0.0
19	((0, 3), '1')	0.0
20	((0, 4), '2')	0.0
21	((0, 4), 'sink')	0.0
22	((0, 4), '3')	1.0
23	((0, 4), '0')	0.0
24	((0, 4), '1')	0.0
25	((0, 5), '2')	0.1524947087187254
26	((0, 5), 'sink')	0.0
27	((0, 5), '3')	1.0
28	((0, 5), '0')	0.14238407476225376
29	((0, 5), '1')	0.21533860642455988
30	((0, 6), '2')	0.15145889184947145
31	((0, 6), 'sink')	0.0
32	((0, 6), '3')	1.0
33	((0, 6), '0')	0.14741788649267645
34	((0, 6), '1')	0.21387592379766554
35	((0, 7), '2')	0.14930442681605083
36	((0, 7), 'sink')	0.0
37	((0, 7), '3')	1.0
38	((0, 7), '0')	0.14532090375451603
39	((0, 7), '1')	0.21083359202244983
40	((1, 0), '2')	0.07822572005015768
41	((1, 0), 'sink')	0.0
42	((1, 0), '3')	1.0
43	((1, 0), '0')	0.02236271833787807
44	((1, 0), '1')	0.966290480484745
45	((1, 1), '2')	0.07697414833262656
46	((1, 1), 'sink')	0.0
47	((1, 1), '3')	1.0
48	((1, 1), '0')	0.022785571818042156
49	((1, 1), '1')	0.9509496446010313
50	((1, 2), '2')	0.07415367513663117
51	((1, 2), 'sink')	0.0
52	((1, 2), '3')	1.0
53	((1, 2), '0')	0.02308232596456679
54	((1, 2), '1')	0.8473258393171818
55	((1, 3), '2')	0.0
56	((1, 3), 'sink')	0.0
57	((1, 3), '3')	1.0
58	((1, 3), '0')	0.0
59	((1, 3), '1')	0.0
60	((1, 4), '2')	0.0
61	((1, 4), 'sink')	0.0
62	((1, 4), '3')	1.0
63	((1, 4), '0')	0.0
64	((1, 4), '1')	0.0
65	((1, 5), '2')	0.1590102998547921
66	((1, 5), 'sink')	0.0
