	State	Value
0	((0, 0), '1')	0.9674267100977199
1	((0, 0), 'sink')	0.0
2	((0, 0), '2')	1.0
3	((0, 0), '0')	0.07640600947456956
4	((0, 1), '1')	0.9467041559675723
5	((0, 1), 'sink')	0.0
6	((0, 1), '2')	1.0
7	((0, 1), '0')	0.07579721847928807
8	((0, 2), '1')	0.8912526600858629
9	((0, 2), 'sink')	0.0
10	((0, 2), '2')	1.0
11	((0, 2), '0')	0.07452919896581368
12	((0, 3), '1')	0.0
13	((0, 3), 'sink')	0.0
14	((0, 3), '2')	1.0
15	((0, 3), '0')	0.0
16	((0, 4), '1')	0.0
17	((0, 4), 'sink')	0.0
18	((0, 4), '2')	1.0
19	((0, 4), '0')	0.0
20	((0, 5), '1')	0.2153386064245602
21	((0, 5), 'sink')	0.0
22	((0, 5), '2')	1.0
23	((0, 5), '0')	0.2078900081935556
24	((0, 6), '1')	0.21387592379766593
25	((0, 6), 'sink')	0.0
26	((0, 6), '2')	1.0
27	((0, 6), '0')	0.2100005416811134
28	((0, 7), '1')	0.21083359202245022
29	((0, 7), 'sink')	0.0
30	((0, 7), '2')	1.0
31	((0, 7), '0')	0.20701333625179455
32	((1, 0), '1')	0.966290480484745
33	((1, 0), 'sink')	0.0
34	((1, 0), '2')	1.0
35	((1, 0), '0')	0.07879204740473192
36	((1, 1), '1')	0.9509496446010313
37	((1, 1), 'sink')	0.0
38	((1, 1), '2')	1.0
39	((1, 1), '0')	0.07753759205053862
40	((1, 2), '1')	0.8473258393171818
41	((1, 2), 'sink')	0.0
42	((1, 2), '2')	1.0
43	((1, 2), '0')	0.07534790691976076
44	((1, 3), '1')	0.0
45	((1, 3), 'sink')	0.0
46	((1, 3), '2')	1.0
47	((1, 3), '0')	0.0
48	((1, 4), '1')	0.0
49	((1, 4), 'sink')	0.0
50	((1, 4), '2')	1.0
51	((1, 4), '0')	0.0
52	((1, 5), '1')	0.22453930805585906
53	((1, 5), 'sink')	0.0
54	((1, 5), '2')	1.0
55	((1, 5), '0')	0.2120756271190192
56	((1, 6), '1')	0.21912688985061715
57	((1, 6), 'sink')	0.0
58	((1, 6), '2')	1.0
59	((1, 6), '0')	0.20933857047277105
60	((1, 7), '1')	0.21387592379766598
61	((1, 7), 'sink')	0.0
62	((1, 7), '2')	1.0
63	((1, 7), '0')	0.2100005416811134
64	((2, 0), '1')	0.9527432578643845
65	((2, 0), 'sink')	0.0
66	((2, 0), '2')	1.0
67	((2, 0), '0')	0.0817225870871631
68	((2, 1), '1')	0.921813165921422
69	((2, 1), 'sink')	0.0
70	((2, 1), '2')	1.0
71	((2, 1), '0')	0.08019703438425321
72	((2, 2), '1')	0.6937634343760005
73	((2, 2), 'sink')	0.0
74	((2, 2), '2')	1.0
75	((2, 2), '0')	0.07578400126229232
76	((2, 3), '1')	0.28432286777014903
77	((2, 3), 'sink')	0.0
78	((2, 3), '2')	1.0
79	((2, 3), '0')	0.07450407713785802
80	((2, 4), '1')	0.2635526187221443
81	((2, 4), 'sink')	0.0
82	((2, 4), '2')	1.0
83	((2, 4), '0')	0.17507147731635428
84	((2, 5), '1')	0.24851681335663386
85	((2, 5), 'sink')	0.0
86	((2, 5), '2')	1.0
87	((2, 5), '0')	0.21400015590804308
88	((2, 6), '1')	0.2245393080558591
89	((2, 6), 'sink')	0.0
90	((2, 6), '2')	1.0
91	((2, 6), '0')	0.2120756271190192
92	((2, 7), '1')	0.2153386064245603
93	((2, 7), 'sink')	0.0
94	((2, 7), '2')	1.0
95	((2, 7), '0')	0.20789000819355566
96	((3, 0), '1')	0.9095037289828104
97	((3, 0), 'sink')	0.0
98	((3, 0), '2')	1.0
99	((3, 0), '0')	0.08493045330846578
100	((3, 1), '1')	0.882474044985251
101	((3, 1), 'sink')	0.0
102	((3, 1), '2')	1.0
103	((3, 1), '0')	0.083522643295376
104	((3, 2), '1')	0.0
105	((3, 2), 'sink')	0.0
106	((3, 2), '2')	1.0
107	((3, 2), '0')	0.0
108	((3, 3), '1')	0.0
109	((3, 3), 'sink')	0.0
110	((3, 3), '2')	1.0
111	((3, 3), '0')	0.0
112	((3, 4), '1')	0.2659071551199236
113	((3, 4), 'sink')	0.0
114	((3, 4), '2')	1.0
115	((3, 4), '0')	0.22572151540838808
116	((3, 5), '1')	0.26081414764334904
117	((3, 5), 'sink')	0.0
118	((3, 5), '2')	1.0
119	((3, 5), '0')	0.2256961155372483
120	((3, 6), '1')	0.0
121	((3, 6), 'sink')	0.0
122	((3, 6), '2')	1.0
123	((3, 6), '0')	0.0
124	((3, 7), '1')	0.0
125	((3, 7), 'sink')	0.0
126	((3, 7), '2')	1.0
127	((3, 7), '0')	0.0
128	((4, 0), '1')	0.8658542456708233
129	((4, 0), 'sink')	0.0
130	((4, 0), '2')	1.0
131	((4, 0), '0')	0.08813101923516357
132	((4, 1), '1')	0.8368082761932515
133	((4, 1), 'sink')	0.0
134	((4, 1), '2')	1.0
135	((4, 1), '0')	0.08778338240101126
136	((4, 2), '1')	0.0
137	((4, 2), 'sink')	0.0
138	((4, 2), '2')	1.0
139	((4, 2), '0')	0.0
140	((4, 3), '1')	0.0
141	((4, 3), 'sink')	0.0
142	((4, 3), '2')	1.0
143	((4, 3), '0')	0.0
144	((4, 4), '1')	0.2840054710191265
145	((4, 4), 'sink')	0.0
146	((4, 4), '2')	1.0
147	((4, 4), '0')	0.228297817820434
148	((4, 5), '1')	0.2751024264274041
149	((4, 5), 'sink')	0.0
150	((4, 5), '2')	1.0
151	((4, 5), '0')	0.2449574044809355
152	((4, 6), '1')	0.0
153	((4, 6), 'sink')	0.0
154	((4, 6), '2')	1.0
155	((4, 6), '0')	0.0
156	((4, 7), '1')	0.0
157	((4, 7), 'sink')	0.0
158	((4, 7), '2')	1.0
159	((4, 7), '0')	0.0
160	((5, 0), '1')	0.81751562565097
161	((5, 0), 'sink')	0.0
162	((5, 0), '2')	1.0
163	((5, 0), '0')	0.09061727764954458
164	((5, 1), '1')	0.780589910932613
165	((5, 1), 'sink')	0.0
166	((5, 1), '2')	1.0
167	((5, 1), '0')	0.09453627516888821
168	((5, 2), '1')	0.5771832441781487
169	((5, 2), 'sink')	0.0
170	((5, 2), '2')	1.0
171	((5, 2), '0')	0.10379472800419948
172	((5, 3), '1')	0.42389347553866724
173	((5, 3), 'sink')	0.0
174	((5, 3), '2')	1.0
175	((5, 3), '0')	0.12936860291216956
176	((5, 4), '1')	0.32353698681231363
177	((5, 4), 'sink')	0.0
178	((5, 4), '2')	1.0
179	((5, 4), '0')	0.2163481332312871
180	((5, 5), '1')	0.2867826870496814
181	((5, 5), 'sink')	0.0
182	((5, 5), '2')	1.0
183	((5, 5), '0')	0.220402328763632
184	((5, 6), '1')	0.2591131973840613
185	((5, 6), 'sink')	0.0
186	((5, 6), '2')	1.0
187	((5, 6), '0')	0.1991373771699975
188	((5, 7), '1')	0.24849579930572785
189	((5, 7), 'sink')	0.0
190	((5, 7), '2')	1.0
191	((5, 7), '0')	0.19097754267667674
192	((6, 0), '1')	0.7667252001278535
193	((6, 0), 'sink')	0.0
194	((6, 0), '2')	1.0
195	((6, 0), '0')	0.08996634460219709
196	((6, 1), '1')	0.7014197479644211
197	((6, 1), 'sink')	0.0
198	((6, 1), '2')	1.0
199	((6, 1), '0')	0.09212760372432627
200	((6, 2), '1')	0.5541709050408549
201	((6, 2), 'sink')	0.0
202	((6, 2), '2')	1.0
203	((6, 2), '0')	0.09417924043971042
204	((6, 3), '1')	0.3948978962992421
205	((6, 3), 'sink')	0.0
206	((6, 3), '2')	1.0
207	((6, 3), '0')	0.0865812452657324
208	((6, 4), '1')	0.0
209	((6, 4), 'sink')	0.0
210	((6, 4), '2')	1.0
211	((6, 4), '0')	0.0
212	((6, 5), '1')	0.25911319738406124
213	((6, 5), 'sink')	0.0
214	((6, 5), '2')	1.0
215	((6, 5), '0')	0.19913737716999755
216	((6, 6), '1')	0.2528673912537998
217	((6, 6), 'sink')	0.0
218	((6, 6), '2')	1.0
219	((6, 6), '0')	0.1943372609904692
220	((6, 7), '1')	0.24680789719409216
221	((6, 7), 'sink')	0.0
222	((6, 7), '2')	1.0
223	((6, 7), '0')	0.18968033202579423
224	((7, 0), '1')	0.7417504379087051
225	((7, 0), 'sink')	0.0
226	((7, 0), '2')	1.0
227	((7, 0), '0')	0.08703584477802129
228	((7, 1), '1')	0.0
229	((7, 1), 'sink')	0.0
230	((7, 1), '2')	1.0
231	((7, 1), '0')	0.0
232	((7, 2), '1')	0.0
233	((7, 2), 'sink')	0.0
234	((7, 2), '2')	1.0
235	((7, 2), '0')	0.0
236	((7, 3), '1')	0.16683453086895436
237	((7, 3), 'sink')	0.0
238	((7, 3), '2')	1.0
239	((7, 3), '0')	0.03657842083061526
240	((7, 4), '1')	0.0
241	((7, 4), 'sink')	0.0
242	((7, 4), '2')	1.0
243	((7, 4), '0')	0.0
244	((7, 5), '1')	0.24849579930572785
245	((7, 5), 'sink')	0.0
246	((7, 5), '2')	1.0
247	((7, 5), '0')	0.19097754267667683
248	((7, 6), '1')	0.2468078971940921
249	((7, 6), 'sink')	0.0
250	((7, 6), '2')	1.0
251	((7, 6), '0')	0.18968033202579426
252	((7, 7), '1')	0.2432971162951719
253	((7, 7), 'sink')	0.0
254	((7, 7), '2')	1.0
255	((7, 7), '0')	0.18698217652044868
256	('sT', '1')	0.0
257	('sT', 'sink')	0.0
258	('sT', '2')	1.0
259	('sT', '0')	0.0
