	State	Action
0	(0, 0)	1
1	(0, 1)	2
2	(0, 2)	2
3	(0, 3)	0
4	(0, 4)	0
5	(0, 5)	1
6	(0, 6)	1
7	(0, 7)	1
8	(1, 0)	0
9	(1, 1)	2
10	(1, 2)	2
11	(1, 3)	0
12	(1, 4)	0
13	(1, 5)	1
14	(1, 6)	1
15	(1, 7)	2
16	(2, 0)	3
17	(2, 1)	2
18	(2, 2)	3
19	(2, 3)	2
20	(2, 4)	2
21	(2, 5)	2
22	(2, 6)	2
23	(2, 7)	2
24	(3, 0)	3
25	(3, 1)	2
26	(3, 2)	0
27	(3, 3)	0
28	(3, 4)	3
29	(3, 5)	2
30	(3, 6)	0
31	(3, 7)	0
32	(4, 0)	3
33	(4, 1)	2
34	(4, 2)	0
35	(4, 3)	0
36	(4, 4)	3
37	(4, 5)	2
38	(4, 6)	0
39	(4, 7)	0
40	(5, 0)	3
41	(5, 1)	3
42	(5, 2)	2
43	(5, 3)	2
44	(5, 4)	2
45	(5, 5)	2
46	(5, 6)	2
47	(5, 7)	2
48	(6, 0)	3
49	(6, 1)	3
50	(6, 2)	2
51	(6, 3)	2
52	(6, 4)	0
53	(6, 5)	3
54	(6, 6)	2
55	(6, 7)	2
56	(7, 0)	3
57	(7, 1)	0
58	(7, 2)	0
59	(7, 3)	3
60	(7, 4)	0
61	(7, 5)	3
62	(7, 6)	3
63	(7, 7)	2
64	sT	0
