,index of state,state,value,policy
0,0,"(7, ('0', '0'))",0.8078908799283377,2
1,1,"(8, ('0', '1'))",1.536585365853659,0
2,2,"(4, ('1', '1'))",2.0,stop
3,3,"(10, ('0', '1'))",1.0,stop
4,4,"(7, ('1', '0'))",2.0,stop
5,5,"(1, ('0', '1'))",1.0,stop
6,6,"(8, ('1', '1'))",2.0,stop
7,7,"(9, ('0', '0'))",0.0,0
8,8,"(10, ('1', '1'))",2.0,stop
9,9,"(1, ('1', '1'))",2.0,stop
10,10,"(0, ('0', '0'))",0.0,0
11,11,"(11, ('0', '0'))",0.7552436196413779,0
12,12,"(2, ('0', '0'))",0.5841564816601488,1
13,13,"(12, ('0', '1'))",1.2392211404728795,0
14,14,"(9, ('1', '0'))",2.0,stop
15,15,"(13, ('0', '0'))",0.6676956477492456,3
16,16,"(3, ('0', '1'))",1.0,stop
17,17,"(0, ('1', '0'))",2.0,stop
18,18,"(11, ('1', '0'))",2.0,stop
19,19,"(14, ('0', '1'))",1.0,stop
20,20,"(15, ('0', '0'))",0.0,0
21,21,"(5, ('0', '1'))",1.0,stop
22,22,"(2, ('1', '0'))",2.0,stop
23,23,"(6, ('0', '0'))",0.6803917863402045,1
24,24,"(12, ('1', '1'))",2.0,stop
25,25,"(13, ('1', '0'))",2.0,stop
26,26,"(6, ('1', '0'))",2.0,stop
27,27,"(15, ('1', '0'))",2.0,stop
28,28,"(3, ('1', '1'))",2.0,stop
29,29,"(14, ('1', '1'))",2.0,stop
30,30,"(4, ('0', '0'))",1.3170731707317074,3
31,31,"(5, ('1', '1'))",2.0,stop
32,32,"(7, ('0', '1'))",1.0,stop
33,33,"(4, ('1', '0'))",2.0,stop
34,34,"(8, ('0', '0'))",1.3170731707317076,0
35,35,"(10, ('0', '0'))",0.77212524711153,1
36,36,"(1, ('0', '0'))",0.3846884147518054,1
37,37,"(10, ('1', '0'))",2.0,stop
38,38,"(7, ('1', '1'))",2.0,stop
39,39,"(8, ('1', '0'))",2.0,stop
40,40,"(1, ('1', '0'))",2.0,stop
41,41,"(9, ('0', '1'))",1.0,stop
42,42,"(0, ('0', '1'))",1.0,stop
43,43,"(11, ('0', '1'))",1.0,stop
44,44,"(12, ('0', '0'))",1.013908205841447,0
45,45,"(2, ('0', '1'))",1.0,stop
46,46,"(3, ('0', '0'))",0.6602551730001577,2
47,47,"(9, ('1', '1'))",2.0,stop
48,48,"(13, ('0', '1'))",1.0355846534821398,3
49,49,"(14, ('0', '0'))",0.6091929198349612,3
50,50,"(5, ('0', '0'))",0.0,0
51,51,"(14, ('1', '0'))",2.0,stop
52,52,"(0, ('1', '1'))",2.0,stop
53,53,"(11, ('1', '1'))",2.0,stop
54,54,"(12, ('1', '0'))",2.0,stop
55,55,"(5, ('1', '0'))",2.0,stop
56,56,"(6, ('0', '1'))",1.0,stop
57,57,"(2, ('1', '1'))",2.0,stop
58,58,"(3, ('1', '0'))",2.0,stop
59,59,"(13, ('1', '1'))",2.0,stop
60,60,"(15, ('0', '1'))",1.0,stop
61,61,v_sink,0.0,0
62,62,"(15, ('1', '1'))",2.0,stop
63,63,"(6, ('1', '1'))",2.0,stop
64,64,"(4, ('0', '1'))",1.5365853658536586,3
