,index of state,state,value,policy
0,0,"(5, ('1', '0'))",2.0,stop
1,1,"(9, ('1', '1'))",2.0,stop
2,2,"(8, ('0', '1'))",1.536585365853659,0
3,3,"(0, ('1', '1'))",2.0,stop
4,4,"(11, ('1', '1'))",2.0,stop
5,5,"(10, ('0', '1'))",1.0,stop
6,6,"(2, ('1', '1'))",2.0,stop
7,7,"(9, ('0', '0'))",0.0,0
8,8,"(1, ('0', '1'))",1.0,stop
9,9,"(13, ('1', '1'))",2.0,stop
10,10,"(0, ('0', '0'))",0.0,0
11,11,"(11, ('0', '0'))",0.7469771825252044,0
12,12,"(15, ('1', '1'))",2.0,stop
13,13,"(2, ('0', '0'))",0.5808996851983277,1
14,14,"(6, ('1', '1'))",2.0,stop
15,15,"(7, ('1', '0'))",2.0,stop
16,16,"(13, ('0', '0'))",0.0,0
17,17,"(15, ('0', '0'))",0.0,0
18,18,"(6, ('0', '0'))",0.6715391258609034,1
19,19,"(4, ('1', '1'))",2.0,stop
20,20,"(3, ('0', '1'))",1.0,stop
21,21,"(14, ('0', '1'))",1.0,stop
22,22,"(12, ('0', '1'))",1.231409875074361,0
23,23,"(5, ('0', '1'))",1.0,stop
24,24,"(4, ('0', '0'))",1.3170731707317074,3
25,25,"(8, ('1', '1'))",2.0,stop
26,26,"(9, ('1', '0'))",2.0,stop
27,27,"(10, ('1', '1'))",2.0,stop
28,28,"(0, ('1', '0'))",2.0,stop
29,29,"(11, ('1', '0'))",2.0,stop
30,30,"(1, ('1', '1'))",2.0,stop
31,31,"(8, ('0', '0'))",1.3170731707317076,0
32,32,"(2, ('1', '0'))",2.0,stop
33,33,"(13, ('1', '0'))",2.0,stop
34,34,"(10, ('0', '0'))",0.7320303972695643,1
35,35,"(15, ('1', '0'))",2.0,stop
36,36,"(7, ('0', '1'))",1.0,stop
37,37,v_sink,0.0,0
38,38,"(1, ('0', '0'))",0.3825436951306062,1
39,39,"(6, ('1', '0'))",2.0,stop
40,40,"(12, ('1', '1'))",2.0,stop
41,41,"(3, ('1', '1'))",2.0,stop
42,42,"(14, ('1', '1'))",2.0,stop
43,43,"(4, ('1', '0'))",2.0,stop
44,44,"(5, ('1', '1'))",2.0,stop
45,45,"(12, ('0', '0'))",0.867340868530637,0
46,46,"(14, ('1', '0'))",2.0,stop
47,47,"(3, ('0', '0'))",0.6582605540882708,2
48,48,"(14, ('0', '0'))",0.39529641452556474,0
49,49,"(8, ('1', '0'))",2.0,stop
50,50,"(5, ('0', '0'))",0.0,0
51,51,"(9, ('0', '1'))",1.0,stop
52,52,"(10, ('1', '0'))",2.0,stop
53,53,"(2, ('0', '1'))",1.0,stop
54,54,"(13, ('0', '1'))",1.0,stop
55,55,"(0, ('0', '1'))",1.0,stop
56,56,"(11, ('0', '1'))",1.0,stop
57,57,"(1, ('1', '0'))",2.0,stop
58,58,"(15, ('0', '1'))",1.0,stop
59,59,"(7, ('1', '1'))",2.0,stop
60,60,"(6, ('0', '1'))",1.0,stop
61,61,"(7, ('0', '0'))",0.805947612993857,2
62,62,"(12, ('1', '0'))",2.0,stop
63,63,"(3, ('1', '0'))",2.0,stop
64,64,"(4, ('0', '1'))",1.5365853658536586,3
