	State	Value
0	((6, 2), '0')	0.18755892519528056
1	((7, 3), '1')	1.0
2	((6, 4), '0')	0.0
3	('sT', '1')	1.0
4	((4, 5), '1')	1.0
5	((7, 1), '0')	0.0
6	((4, 7), '1')	1.0
7	((7, 0), '0')	0.11404942414717469
8	((0, 1), '0')	0.2079959471400655
9	((0, 7), '0')	0.7631361270783789
10	((6, 5), '0')	0.30289455399067955
11	((5, 0), '1')	1.0
12	((5, 7), '1')	1.0
13	((1, 1), '1')	1.0
14	((5, 2), '1')	1.0
15	((4, 0), '0')	0.18164692059485799
16	((0, 4), '0')	0.0
17	((1, 4), '1')	1.0
18	((5, 3), '1')	1.0
19	((7, 2), '0')	0.0
20	((0, 0), '1')	1.0
21	((3, 6), '0')	0.0
22	((6, 7), '0')	0.2317331320567905
23	((7, 4), '0')	0.0
24	((3, 5), '0')	0.5826109403595985
25	((6, 0), '1')	1.0
26	((6, 6), '0')	0.2662005706175616
27	((4, 3), '0')	0.0
28	((3, 7), '0')	0.0
29	((1, 5), '1')	1.0
30	((2, 2), '1')	1.0
31	((1, 7), '1')	1.0
32	((4, 4), '0')	0.4072180879657209
33	((7, 5), '0')	0.2389400607584004
34	((0, 5), '0')	0.7629801368629748
35	((4, 6), '0')	0.0
36	((6, 3), '0')	0.21352812716408576
37	((7, 7), '0')	0.20626795270989057
38	((5, 5), '1')	1.0
39	((5, 4), '1')	1.0
40	((7, 6), '0')	0.23173313205679055
41	((5, 6), '1')	1.0
42	((3, 0), '1')	1.0
43	((6, 1), '1')	1.0
44	((1, 0), '0')	0.21096956366884947
45	((1, 3), '1')	1.0
46	((1, 6), '1')	1.0
47	((7, 3), '0')	0.15374025155814175
48	((5, 1), '1')	1.0
49	('sT', '0')	0.0
50	((4, 5), '0')	0.45612950497582583
51	((3, 1), '1')	1.0
52	((4, 7), '0')	0.0
53	((3, 3), '1')	1.0
54	((2, 5), '1')	1.0
55	((2, 4), '1')	1.0
56	((2, 7), '1')	1.0
57	((5, 0), '0')	0.1619049107981639
58	((7, 1), '1')	1.0
59	((2, 1), '0')	0.27514683957717034
60	((5, 2), '0')	0.21352812716408576
61	((0, 2), '1')	1.0
62	((1, 2), '0')	0.2556323340930405
63	((3, 2), '1')	1.0
64	((2, 3), '1')	1.0
65	((1, 4), '0')	0.0
66	((5, 3), '0')	0.27312197763404233
67	((0, 3), '1')	1.0
68	((3, 4), '1')	1.0
69	((6, 0), '0')	0.1441457999637902
70	((2, 0), '0')	0.23581509944275025
71	((4, 1), '1')	1.0
72	((7, 2), '1')	1.0
73	((1, 5), '0')	0.8557732293545255
74	((2, 2), '0')	0.32503242155078954
75	((4, 2), '1')	1.0
76	((2, 6), '1')	1.0
77	((1, 7), '0')	0.8573504637547219
78	((0, 6), '1')	1.0
79	((5, 5), '0')	0.3874118092154151
80	((4, 4), '1')	1.0
81	((5, 4), '0')	0.3526450641517703
82	((6, 2), '1')	1.0
83	((5, 6), '0')	0.30289455399067955
84	((3, 0), '0')	0.2080234912999013
85	((6, 1), '0')	0.16223491324856773
86	((6, 4), '1')	1.0
87	((1, 3), '0')	0.0
88	((1, 6), '0')	0.7714734662832322
89	((5, 7), '0')	0.23894006075840046
90	((7, 0), '1')	1.0
91	((5, 1), '0')	0.1838631777559047
92	((0, 1), '1')	1.0
93	((1, 1), '0')	0.24009989529413278
94	((3, 1), '0')	0.2168278387125538
95	((0, 7), '1')	1.0
96	((6, 5), '1')	1.0
97	((3, 3), '0')	0.0
98	((2, 5), '0')	0.7456113004095296
99	((2, 4), '0')	0.5826109403595985
100	((2, 7), '0')	0.7629801368629748
101	((4, 0), '1')	1.0
102	((0, 0), '0')	0.1874920011914039
103	((0, 4), '1')	1.0
104	((0, 2), '0')	0.20277491578959506
105	((2, 1), '1')	1.0
106	((3, 6), '1')	1.0
107	((6, 7), '1')	1.0
108	((7, 4), '1')	1.0
109	((3, 2), '0')	0.0
110	((3, 5), '1')	1.0
111	((2, 3), '0')	0.41947987705891093
112	((6, 6), '1')	1.0
113	((4, 3), '1')	1.0
114	((0, 3), '0')	0.0
115	((3, 4), '0')	0.5085644896081897
116	((3, 7), '1')	1.0
117	((1, 2), '1')	1.0
118	((4, 1), '0')	0.17246426672657594
119	((7, 5), '1')	1.0
120	((0, 5), '1')	1.0
121	((4, 6), '1')	1.0
122	((6, 3), '1')	1.0
123	((7, 7), '1')	1.0
124	((4, 2), '0')	0.0
125	((2, 6), '0')	0.8557732293545255
126	((2, 0), '1')	1.0
127	sT	0.0
128	((0, 6), '0')	0.8573504637547219
129	((7, 6), '1')	1.0
130	((1, 0), '1')	1.0
